N,K,bf_time,bf_corr_f_mean,bf_corr_h_mean,bf_rmse_f_mean,bf_rmse_h_mean,num_particles,pf_time,pf_corr_f_mean,pf_corr_h_mean,pf_rmse_f_mean,pf_rmse_h_mean
5,2,1.3998011747996013,0.9301206733333333,-6.184657701166655e-18,0.45789590666666663,0.14686562833333333,,,,,,
5,3,1.3366812070210774,0.8739417500000001,-0.013866534444444226,0.39708973444444445,0.20312871444444444,,,,,,
5,5,1.381556510925293,0.85124749,-0.009109047333333333,0.5650615253333333,0.42280847800000004,,,,,,
10,2,1.2215507825215657,0.9627950833333334,0.12049666000000016,0.33212133666666666,0.28818373999999997,,,,,,
10,3,1.1815292040507,0.9438435422222221,0.02423684555555555,0.34260674444444444,0.24690525555555554,,,,,,
10,5,1.1899859110514324,0.9449961713333334,0.07141699133333333,0.35168826133333336,0.30808844933333335,,,,,,
10,10,1.3216910362243652,0.925609932,0.19597178299999995,0.443769407,0.4211967376666667,,,,,,
50,2,1.265312910079956,0.9808101533333332,1.0411587895e-15,0.32427379333333334,0.09903635999999999,,,,,,
50,3,1.2924729188283284,0.9700832444444445,-0.04902603,0.3139808144444445,0.16563381444444444,,,,,,
50,5,1.4109748204549153,0.97359699,0.11432469999999999,0.2993865466666667,0.2891255546666667,,,,,,
50,10,1.3105654716491697,0.971496208,0.294495094,0.31804592800000003,0.46662511033333337,,,,,,
5,2,,,,,,1000.0,0.5452733834584554,0.89694945,0.19180934500000002,0.3197725283333333,0.17325685333333332
5,2,,,,,,10000.0,2.441972335179647,0.9307216666666666,0.18381313333333335,0.2537276233333333,0.11773194
5,3,,,,,,1000.0,0.5605518023173014,0.9215937277777778,0.22144033111111108,0.3595899655555555,0.25440904000000003
5,3,,,,,,10000.0,3.0285727183024087,0.9379182699999999,0.06067795666666665,0.3112362688888889,0.15146164888888888
5,5,,,,,,1000.0,0.6824483076731364,0.8395623520000001,0.25538720666666664,0.49450548866666666,0.5032978006666666
5,5,,,,,,10000.0,4.502328793207805,0.9121596646666666,0.37039718200000005,0.39350915599999997,0.369972546
10,2,,,,,,1000.0,0.5445163249969482,0.973784675,0.009819601666666665,0.18307147499999998,0.10133503333333334
10,2,,,,,,10000.0,2.5270623366038003,0.9452369616666667,0.09173445833333334,0.17315220833333334,0.11841482833333333
10,3,,,,,,1000.0,0.5990432898203532,0.9705257944444444,0.10119077444444445,0.23613101111111112,0.1745008011111111
10,3,,,,,,10000.0,3.1171900431315103,0.9618620288888889,0.05246775777777777,0.2154302422222222,0.1493611611111111
10,5,,,,,,1000.0,0.7228566805521647,0.8887280140000001,0.08216355800000001,0.32157538866666663,0.29330511933333336
10,5,,,,,,10000.0,4.507174968719482,0.965837822,0.27391752133333336,0.269831426,0.323502132
10,10,,,,,,1000.0,1.0610995292663574,0.8122605066666666,0.011477788459309997,0.645177511,0.6376845426666667
10,10,,,,,,10000.0,11.02865489323934,0.8409495373333332,0.10915216666666666,0.5390561586666667,0.67741939
50,2,,,,,,1000.0,0.6759089628855387,0.9942798916666667,0.118250545,0.08692100333333334,0.19571833833333332
50,2,,,,,,10000.0,7.839569727579753,0.9965312700000001,0.12494995666666668,0.08002221833333334,0.10914162999999999
50,3,,,,,,1000.0,0.7799548308054606,0.9891969166666666,0.09166726666666668,0.12374244444444445,0.2906455488888889
50,3,,,,,,10000.0,10.023661295572916,0.9934079711111111,0.06982090888888888,0.08711888111111112,0.11803031555555554
50,5,,,,,,1000.0,0.9567528565724691,0.9727089339999999,0.07179666666666666,0.23780303533333336,0.31526276133333336
50,5,,,,,,10000.0,12.469411055246988,0.9832094606666667,0.152542486,0.16297804666666668,0.5141375406666667
50,10,,,,,,1000.0,1.3145322799682617,0.8595876320000001,0.07747695766666667,0.45754974733333337,0.6724074513333335
50,10,,,,,,10000.0,20.91996741294861,0.9178245453333332,0.071760372,0.381852908,0.6995573049999999
