N,K,T,num_particles,seed,bf_time,pf_time,bf_rmse_f,bf_corr_f,bf_rmse_h,bf_corr_h,pf_rmse_f,pf_corr_f,pf_rmse_h,pf_corr_h,error,bf_rmse_f_mean,bf_rmse_h_mean,bf_corr_f_mean,bf_corr_h_mean,pf_rmse_f_mean,pf_rmse_h_mean,pf_corr_f_mean,pf_corr_h_mean
50,3,1000,1000.0,51300,,1.5925228595733643,,,,,[0.25252714 0.23822142 0.2271653 ],[0.96942611 0.88800031 0.94160128],[0.25792385 0.11373878 0.28136402],[ 0.0322855   0.06871269 -0.04739134],,,,,,0.23930461716234663,0.21767555340025604,0.9330092359289078,0.01786895222684363
50,3,1000,1000.0,51301,,1.421067237854004,,,,,[0.35079521 0.28556852 0.29822181],[0.95475794 0.98833978 0.98847439],[0.36702626 0.66548399 0.16370263],[0.04019036 0.07978217 0.02372746],,,,,,0.3115285109240818,0.39873762926310197,0.977190702737807,0.04789999772348811
50,3,1000,1000.0,51302,,1.3584353923797607,,,,,[0.19144553 0.20508244 0.21324799],[0.97542529 0.93689281 0.92451389],[0.28762481 0.45284689 0.26851173],[ 0.00291925  0.06394384 -0.01201006],,,,,,0.2032586535583407,0.33632780847782356,0.9456106640335135,0.018284343661092408
50,3,1000,10000.0,60300,,5.127621173858643,,,,,[0.17877702 0.18317104 0.20463571],[0.98381301 0.95533471 0.96379269],[0.15699103 0.1006055  0.08694394],[0.02066148 0.02369488 0.02876357],,,,,,0.18886125440611543,0.11484682308393947,0.967646803795366,0.024373307047733023
50,3,1000,10000.0,60301,,4.620025396347046,,,,,[0.23562839 0.22966626 0.21702454],[0.98112384 0.98748588 0.9248751 ],[0.22634813 0.13919472 0.17218002],[ 0.03377107 -0.04373125  0.01366675],,,,,,0.2274397310255396,0.17924095799310683,0.9644949368526484,0.0012355216606882464
50,3,1000,10000.0,60302,,4.5783984661102295,,,,,[0.17870893 0.17424409 0.19022523],[0.96954186 0.95183351 0.96942388],[0.14678217 0.14998572 0.13939544],[-0.01968518  0.01210281 -0.02309853],,,,,,0.18105941666702452,0.1453877756856433,0.9635997521491695,-0.010226966967085048
50,5,1000,,50500,0.9385991096496582,,[0.4679546  0.23493596 0.16889917 0.24704898 0.23727931],[0.95869097 0.97990105 0.99478829 0.97213061 0.98302169],[0.28753904 0.307259   0.65081654 0.23980493 0.38443167],[0.25255501 0.26691973 0.24149861 0.30415978 0.27667059],,,,,,0.27122360629898873,0.37397023677848173,0.9777065218026637,0.2683607437438842,,,,
50,5,1000,,50501,0.628868579864502,,[0.31662932 0.25185712 0.3345812  0.21008386 0.31061609],[0.97071558 0.97178992 0.96331335 0.97499928 0.96894408],[0.22999307 0.12844384 0.14610887 0.18728137 0.32187667],"[ 1.45786576e-16             nan  1.83734440e-16 -2.05216757e-16
             nan]",,,,,,0.2847535172961502,0.20274076216965295,0.9699524411121143,,,,,
50,5,1000,,50502,0.6064319610595703,,[0.41930794 0.17571315 0.3074412  0.23788704 0.57056326],[0.98067889 0.99378741 0.95710154 0.97440612 0.95968607],[0.20954051 0.1766916  0.49306182 0.37470732 0.19932707],[-0.00122763  0.00124338 -0.14229699  0.00532479 -0.06160027],,,,,,0.34218252073995065,0.2906656641215072,0.9731320049429577,-0.0397113437853259,,,,
50,5,1000,1000.0,51500,,1.4384667873382568,,,,,[0.35901507 0.37287763 0.38178331 0.3285498  0.3672438 ],[0.94393356 0.93011129 0.90016985 0.96533894 0.95606625],[0.27704126 0.21396653 0.31922376 0.38453357 0.31198149],[-0.0241239  -0.01038224 -0.02759997  0.02198925  0.01840639],,,,,,0.36189392387708286,0.3013493234757191,0.9391239794613071,-0.004342092643355088
50,5,1000,1000.0,51501,,1.5387907028198242,,,,,[0.43597291 0.41443688 0.34424239 0.30091029 0.3090054 ],[0.80881658 0.93906435 0.97186288 0.96929796 0.95039914],[0.44836286 0.79095996 0.41220385 0.24753457 0.35694057],[-0.02331771  0.01135695 -0.02560192 -0.0192688   0.00956801],,,,,,0.3609135715806027,0.45120036394871327,0.9278881817365343,-0.009452693653289311
50,5,1000,1000.0,51502,,1.4966456890106201,,,,,[0.30648836 0.41887346 0.32040215 0.26770523 0.37043134],[0.93384718 0.96085197 0.95525861 0.94078538 0.94917469],[0.35609938 0.28030821 0.21445525 0.28263458 0.13691819],[ 0.04134708  0.01150459 -0.00356675  0.04270066 -0.00658922],,,,,,0.336780107523095,0.25408312091615504,0.947983566719995,0.017079268414297483
50,5,1000,10000.0,60500,,7.292595386505127,,,,,[0.23841697 0.21167522 0.21407789 0.25057297 0.22635024],[0.92229982 0.98613573 0.97140049 0.95827556 0.98138646],[0.43562997 0.34919207 1.19018166 0.61021958 0.9468409 ],[0.05198042 0.08250995 0.19405792 0.15031897 0.15384705],,,,,,0.22821865696317983,0.7064128352370747,0.9638996133622566,0.1265428609234692
50,5,1000,10000.0,60501,,7.506811618804932,,,,,[0.24886883 0.21893155 0.20735867 0.25095666 0.22151348],[0.95792312 0.97044215 0.95850143 0.98417725 0.98133487],[0.61604458 0.76139502 0.55307803 0.47087947 0.53729934],[0.10673006 0.1248151  0.06872467 0.05084942 0.01516738],,,,,,0.22952583801298934,0.5877392880934631,0.9704757649431135,0.07325732618160244
50,5,1000,10000.0,60502,,6.1951823234558105,,,,,[0.27722143 0.21786795 0.20020685 0.28548797 0.25967556],[0.94829546 0.95716546 0.96476769 0.95084906 0.96641056],[0.47793476 0.23587115 0.29071704 0.13151592 0.40614799],[ 0.06216345  0.07181677  0.03542036 -0.03457886  0.02459   ],,,,,,0.24809195194684536,0.30843737329843873,0.9574976455359037,0.03188234526930556
50,10,1000,,51000,0.6906092166900635,,"[0.25117096 0.25230904 0.42005003 0.3775997  0.29955871 0.38505044
 0.25174404 0.36845106 0.3328095  0.34934777]","[0.97787935 0.97472026 0.96959222 0.97195592 0.96518432 0.96660762
 0.9824502  0.98227417 0.96063958 0.9592042 ]","[0.29923166 0.3289611  0.38362141 0.44383784 0.72795106 0.42988499
 0.23733963 0.35304635 0.41962012 0.31259901]","[0.19569803 0.20868001 0.13214892 0.12936843 0.16422744 0.15235878
 0.09783383 0.15963118 0.24905078 0.14323109]",,,,,,0.3288091246629382,0.39360931598571003,0.9710507841427092,0.1632228499186877,,,,
50,10,1000,,51001,0.6956367492675781,,"[0.24756822 0.40667044 0.23748959 0.32996613 0.36948338 0.25547343
 0.42482025 0.3214593  0.15005764 0.2368762 ]","[0.98809684 0.95500185 0.97430576 0.94900646 0.95593113 0.97700859
 0.96012894 0.98008967 0.99239427 0.98550417]","[0.60835315 0.55826237 0.39113453 0.75743348 0.53906183 0.84885865
 0.41176107 0.42622805 0.41385346 0.28534144]","[0.3379283  0.36672042 0.28909949 0.35185167 0.29537908 0.36455678
 0.14671162 0.20204269 0.30634182 0.24996588]",,,,,,0.29798645847146166,0.524028803937189,0.9717467681175801,0.2910597748888052,,,,
50,10,1000,,51002,0.6863284111022949,,"[0.54155522 0.25368081 0.29884726 0.26317773 0.42034985 0.30128886
 0.32764776 0.28708301 0.32185584 0.25793567]","[0.96698315 0.97887694 0.95286002 0.98098016 0.9700656  0.97742611
 0.9588359  0.97334486 0.97290539 0.98463259]","[0.59954715 0.40486925 0.51015689 0.37175138 0.66692012 0.57215597
 0.31609565 0.37398088 0.508449   0.49844582]","[0.50257286 0.36448649 0.38357115 0.47831358 0.50460412 0.50662484
 0.36170004 0.21744012 0.48066875 0.49204463]",,,,,,0.3273422020101636,0.4822372104512297,0.971691073519729,0.4292026564684616,,,,
50,10,1000,1000.0,52000,,2.147413969039917,,,,,"[0.46783002 0.46423576 0.47761733 0.50159013 0.47594668 0.46688193
 0.47262589 0.50667697 0.44596151 0.53063129]","[0.6872386  0.7785268  0.86100227 0.73691817 0.87526731 0.80942859
 0.78217563 0.81652452 0.86099569 0.81873463]","[0.37387881 0.51439207 0.83030158 0.42908742 0.5500083  0.53351458
 0.44724951 0.62070859 0.89274976 0.51275802]","[ 0.01378746  0.01854952  0.00420366  0.05837091 -0.0173212   0.04412667
  0.06577632  0.02476567  0.02861359  0.02434302]",,,,,,0.4809997519599295,0.570464866573275,0.8026812207617813,0.02652156167842302
50,10,1000,1000.0,52001,,2.13763427734375,,,,,"[0.64438224 0.62475112 0.52620302 0.61404726 0.5520475  0.64971686
 0.66141763 0.56508984 0.61459461 0.6588852 ]","[0.76266731 0.74896876 0.88411918 0.83776793 0.83048035 0.78530233
 0.72073367 0.89903566 0.87382265 0.77792383]","[0.36035154 0.7885534  0.61222826 0.74302738 0.79210428 0.71018478
 0.98660995 0.96832374 0.45298411 0.77165243]","[ 0.08220578  0.03991007  0.03299098  0.0612564  -0.02779833  0.04767104
  0.05825456  0.08904548 -0.00376745  0.01341958]",,,,,,0.6111135275348201,0.7186019853367711,0.8120821655552015,0.03931881047994329
50,10,1000,1000.0,52002,,2.176511287689209,,,,,"[0.64032852 0.43983006 0.50127466 0.56064387 0.47953108 0.58991056
 0.53066294 0.43698901 0.50300621 0.50714785]","[0.7963374  0.80007831 0.85872913 0.73468271 0.70505557 0.80117557
 0.82754966 0.80555    0.78504186 0.84425041]","[0.47749286 0.73373    0.63431439 0.60095237 1.10063439 0.77762924
 1.12094717 0.67460797 0.82277004 0.89577914]","[0.07079462 0.07944947 0.06271851 0.017126   0.10106484 0.09860655
 0.08878364 0.10549368 0.07186917 0.10754143]",,,,,,0.518932475525243,0.7838857574146049,0.7958450630375082,0.0803447906835522
50,10,1000,10000.0,61000,,11.277087688446045,,,,,"[0.51371208 0.72039041 0.52815078 0.56590461 0.50635567 0.5859102
 0.62814491 0.5185357  0.68208551 0.54241553]","[0.90821272 0.83193161 0.92460668 0.91311002 0.94125871 0.90910336
 0.73074069 0.88771041 0.81328544 0.87537406]","[0.61038033 1.23368208 0.70481437 0.61574714 1.06424042 1.30416263
 0.90107709 0.49815436 0.75063341 0.73877542]","[0.14091819 0.1512587  0.13612361 0.12946688 0.08697403 0.18024496
 0.05336857 0.01807096 0.01273069 0.08063447]",,,,,,0.5791605382128695,0.8421667232817066,0.8735333706107525,0.09897910504166664
50,10,1000,10000.0,61001,,11.666437149047852,,,,,"[0.38764319 0.44544163 0.42098073 0.36337655 0.40266133 0.42360027
 0.35382346 0.41208981 0.42079421 0.39591397]","[0.92184404 0.86426723 0.91870147 0.83919264 0.87892781 0.92948129
 0.81084345 0.88648298 0.7780175  0.91415569]","[0.68323433 0.55804122 0.60152206 0.47402944 0.46716536 0.70597721
 0.56321406 0.70142151 0.46473797 0.59144044]","[ 0.0378697   0.07246605  0.04982497  0.06805387 -0.01851798  0.04439046
 -0.01297421  0.0484016   0.0168641   0.02485524]",,,,,,0.4026325134376467,0.5810783608466072,0.8741914098122265,0.03312338060331666
50,10,1000,10000.0,61002,,11.545838356018066,,,,,"[0.391506   0.45840496 0.41983135 0.38344755 0.39654896 0.42941584
 0.40790099 0.37877386 0.37998958 0.48029113]","[0.85885321 0.91075964 0.9478624  0.8573956  0.83563183 0.86695408
 0.90169952 0.85951213 0.9102412  0.88540123]","[0.48934333 0.78567813 0.61143148 0.56170128 0.66365498 0.76151708
 0.67058781 0.72635369 0.54841105 0.62111299]","[0.07401558 0.08202106 0.08186972 0.0380935  0.01583866 0.0487053
 0.04240825 0.05359954 0.02501323 0.09026219]",,,,,,0.41261102244527426,0.6439791820708367,0.8834310843191044,0.055182703625210085
